,Datum,Anzahl Artikel
0,2018-01-10,1
1,2018-01-23,2
2,2018-02-07,2
3,2018-02-08,1
4,2018-02-09,1
5,2018-02-18,1
6,2018-02-19,1
7,2018-02-22,1
8,2018-03-02,1
9,2018-03-12,1
10,2018-03-15,1
11,2018-03-26,1
12,2018-04-16,3
13,2018-05-04,1
14,2018-05-16,1
15,2018-05-30,1
16,2018-05-31,1
17,2018-06-03,1
18,2018-06-06,1
19,2018-06-07,2
20,2018-06-09,1
21,2018-06-10,2
22,2018-06-11,6
23,2018-06-12,2
24,2018-06-19,2
25,2018-06-21,1
26,2018-06-29,1
27,2018-06-30,1
28,2018-07-02,1
29,2018-07-06,2
30,2018-07-10,1
31,2018-08-06,1
32,2018-09-26,1
33,2018-09-28,1
34,2018-10-10,1
35,2018-10-26,1
36,2018-11-12,1
37,2018-11-28,1
38,2018-11-30,1
39,2018-12-17,1
40,2019-01-02,1
41,2019-01-11,1
42,2019-01-12,1
43,2019-01-16,1
44,2019-01-21,1
45,2019-02-02,1
46,2019-02-12,1
47,2019-02-21,1
48,2019-02-27,1
49,2019-02-28,2
50,2019-03-01,2
51,2019-03-05,1
52,2019-03-07,1
53,2019-03-13,1
54,2019-03-18,1
55,2019-03-21,1
56,2019-03-25,1
57,2019-03-28,1
58,2019-04-03,1
59,2019-04-21,1
60,2019-05-14,1
61,2019-05-16,1
62,2019-05-17,1
63,2019-05-27,1
64,2019-06-03,1
65,2019-06-18,1
66,2019-06-22,1
67,2019-06-30,1
68,2019-07-14,1
69,2019-07-19,1
70,2019-08-14,1
71,2019-08-22,1
72,2019-08-26,1
73,2019-09-04,1
74,2019-09-05,1
75,2019-09-11,1
76,2019-09-19,2
77,2019-09-20,4
78,2019-09-21,1
79,2019-09-23,1
80,2019-09-24,2
81,2019-09-26,1
82,2019-09-27,1
83,2019-10-04,2
84,2019-10-08,1
85,2019-10-10,1
86,2019-10-13,1
87,2019-10-16,2
88,2019-10-18,2
89,2019-10-21,1
90,2019-10-22,5
91,2019-10-23,1
92,2019-11-20,1
93,2019-11-21,1
94,2019-12-04,4
95,2020-01-09,4
96,2020-01-10,1
97,2020-01-11,2
98,2020-01-14,1
99,2020-01-24,1
100,2020-02-06,1
101,2020-02-21,1
102,2020-03-13,3
103,2020-03-17,1
104,2020-03-18,1
105,2020-03-23,1
106,2020-04-14,1
107,2020-04-20,2
108,2020-04-28,1
109,2020-05-01,1
110,2020-05-20,1
111,2020-05-26,1
112,2020-05-29,1
113,2020-06-05,1
114,2020-06-18,1
115,2020-06-23,1
116,2020-07-03,1
117,2020-07-06,1
118,2020-07-09,1
119,2020-07-10,1
120,2020-08-15,1
121,2020-08-18,3
122,2020-09-10,1
123,2020-09-21,1
124,2020-09-23,1
125,2020-10-27,2
126,2020-10-29,1
127,2020-11-12,2
128,2020-11-21,1
129,2020-11-25,1
130,2020-12-04,1
131,2020-12-07,1
132,2021-01-21,1
133,2021-02-09,1
134,2021-02-19,1
135,2021-03-29,1
136,2021-04-21,1
